GlyphName,persianLetterName
A,HE
ampersand,SLASH
asciicircum,PE
B,KHE
backslash,TE
braceright,YE
bracketleft,BE
bracketright,SE
C,CHE
D,DAL
E,ZAL
eight,8
F,RE
five,5
four,4
G,ZE
H,ZHE
I,SIN
J,SHIN
K,SAD
L,ZAD
M,TA
N,ZA
nine,9
O,EIN
one,1
P,GHEIN
Q,FE
R,GHAF
seven,7
six,6
T,KAF
three,3
two,2
U,GAF
underscore,JIM
V,LAM
W,MIM
X,NON
Y,HA
Z,VAV
zero,0
