GlyphName,persianLetterName
eight,8
five,5
four,4
nine,9
one,1
seven,7
six,6
slash,MOVARAB
three,3
two,2
u0627,AA
u0628,BA
u062A,TA
u062B,SA
u062C,JA
u062D,HA
u062E,KB
u062F,DA
u0630,ZA
u0631,RA
u0632,ZB
u0633,SB
u0634,SH
u0635,SC
u0636,ZC
u0637,TB
u0638,ZD
u0639,EA
u063A,GA
u0641,FA
u0642,GB
u0643,KA
u0644,LA
u0645,MA
u0646,NA
uFEEB,HB
u0648,VA
u0649,YA
u067E,PA
u0686,CA
u0698,ZE
u06AF,GC
zero,0
